epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,12705.1,0.36903,0.20964,0.84488,0.92631,0.965,0.98959,0.88375,0.31959,0.14919,0.82064,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12846.5,0.36942,0.2105,0.84678,0.93558,0.96311,0.9892,0.88094,0.31953,0.14917,0.82039,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12987.6,0.36655,0.20759,0.8448,0.9371,0.96264,0.9889,0.88243,0.31898,0.14892,0.82033,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13129.4,0.36516,0.20623,0.84369,0.9354,0.96307,0.98889,0.88303,0.31848,0.14885,0.82032,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13270.1,0.36668,0.20837,0.84474,0.93467,0.96299,0.98936,0.88127,0.3186,0.14883,0.82033,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13442.8,0.33457,0.16519,0.82775,0.94021,0.96299,0.98939,0.88,0.31907,0.14857,0.82052,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13582.3,0.33132,0.1627,0.8256,0.93418,0.96451,0.98941,0.88091,0.31969,0.14856,0.82074,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13721.9,0.3288,0.16085,0.82395,0.93594,0.96486,0.98952,0.88037,0.32005,0.14875,0.82088,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13876.5,0.32721,0.15904,0.82471,0.94468,0.96322,0.98451,0.876,0.32047,0.14905,0.82096,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14049.8,0.32478,0.1574,0.82376,0.9527,0.96208,0.98452,0.87719,0.32117,0.14932,0.82114,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14223.4,0.32331,0.15629,0.82317,0.95469,0.9605,0.98446,0.8768,0.32169,0.14941,0.8214,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14396.3,0.3215,0.15483,0.82442,0.95382,0.96054,0.9843,0.87859,0.32196,0.14959,0.82153,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,15773.7,0.31951,0.15356,0.82394,0.95183,0.96028,0.98419,0.87887,0.32218,0.14999,0.82159,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,15946.5,0.31746,0.1521,0.8229,0.95278,0.95976,0.9842,0.87845,0.32241,0.15008,0.82159,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16107.4,0.31573,0.15038,0.82145,0.95279,0.96041,0.9841,0.87826,0.32261,0.15047,0.82162,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
